時間,本行買入匯率,本行賣出匯率
英鎊 (GBP)-遠期 10 天,40.198,40.614
英鎊 (GBP)-遠期 30 天,40.095,40.541
英鎊 (GBP)-遠期 60 天,39.956,40.406
英鎊 (GBP)-遠期 90 天,39.831,40.277
英鎊 (GBP)-遠期 120 天,39.694,40.16
英鎊 (GBP)-遠期 150 天,39.558,40.044
英鎊 (GBP)-遠期 180 天,39.421,39.927
