時間,本行買入匯率,本行賣出匯率
歐元 (EUR)-遠期 10 天,34.281,34.689
歐元 (EUR)-遠期 30 天,34.223,34.647
歐元 (EUR)-遠期 60 天,34.13,34.564
歐元 (EUR)-遠期 90 天,34.059,34.516
歐元 (EUR)-遠期 120 天,33.983,34.457
歐元 (EUR)-遠期 150 天,33.905,34.398
歐元 (EUR)-遠期 180 天,33.779,34.339
