時間,本行買入匯率,本行賣出匯率
泰幣 (THB)-遠期 10 天,-,-
泰幣 (THB)-遠期 30 天,-,-
泰幣 (THB)-遠期 60 天,-,-
泰幣 (THB)-遠期 90 天,-,-
泰幣 (THB)-遠期 120 天,-,-
泰幣 (THB)-遠期 150 天,-,-
泰幣 (THB)-遠期 180 天,-,-
