時間,本行買入匯率,本行賣出匯率
港幣 (HKD)-遠期 10 天,4.086,4.147
港幣 (HKD)-遠期 30 天,4.079,4.141
港幣 (HKD)-遠期 60 天,4.068,4.131
港幣 (HKD)-遠期 90 天,4.057,4.119
港幣 (HKD)-遠期 120 天,4.045,4.109
港幣 (HKD)-遠期 150 天,4.034,4.099
港幣 (HKD)-遠期 180 天,4.022,4.089
