時間,本行買入匯率,本行賣出匯率
人民幣 (CNY)-遠期 10 天,4.4179,4.47
人民幣 (CNY)-遠期 30 天,4.4078,4.4641
人民幣 (CNY)-遠期 60 天,4.3974,4.456
人民幣 (CNY)-遠期 90 天,4.3911,4.4497
人民幣 (CNY)-遠期 120 天,4.3833,4.4449
人民幣 (CNY)-遠期 150 天,4.3722,4.4401
人民幣 (CNY)-遠期 180 天,4.3677,4.4353
