時間,本行買入匯率,本行賣出匯率
美金 (USD)-遠期 10 天,32.218,32.324
美金 (USD)-遠期 30 天,32.126,32.24
美金 (USD)-遠期 60 天,32.003,32.132
美金 (USD)-遠期 90 天,31.893,32.035
美金 (USD)-遠期 120 天,31.781,31.935
美金 (USD)-遠期 150 天,31.666,31.833
美金 (USD)-遠期 180 天,31.555,31.735
