時間,本行買入匯率,本行賣出匯率
新加坡幣 (SGD)-遠期 10 天,23.703,23.892
新加坡幣 (SGD)-遠期 30 天,23.668,23.876
新加坡幣 (SGD)-遠期 60 天,23.628,23.837
新加坡幣 (SGD)-遠期 90 天,23.559,23.768
新加坡幣 (SGD)-遠期 120 天,23.506,23.725
新加坡幣 (SGD)-遠期 150 天,23.454,23.683
新加坡幣 (SGD)-遠期 180 天,23.401,23.641
