時間,本行買入匯率,本行賣出匯率
馬來幣 (MYR)-遠期 10 天,-,-
馬來幣 (MYR)-遠期 30 天,-,-
馬來幣 (MYR)-遠期 60 天,-,-
馬來幣 (MYR)-遠期 90 天,-,-
馬來幣 (MYR)-遠期 120 天,-,-
馬來幣 (MYR)-遠期 150 天,-,-
馬來幣 (MYR)-遠期 180 天,-,-
