時間,本行買入匯率,本行賣出匯率
南非幣 (ZAR)-遠期 10 天,1.686,1.767
南非幣 (ZAR)-遠期 30 天,1.679,1.762
南非幣 (ZAR)-遠期 60 天,1.669,1.751
南非幣 (ZAR)-遠期 90 天,1.659,1.741
南非幣 (ZAR)-遠期 120 天,1.648,1.731
南非幣 (ZAR)-遠期 150 天,1.638,1.721
南非幣 (ZAR)-遠期 180 天,1.627,1.712
