時間,本行買入匯率,本行賣出匯率
日圓 (JPY)-遠期 10 天,0.2088,0.2129
日圓 (JPY)-遠期 30 天,0.209,0.2131
日圓 (JPY)-遠期 60 天,0.2092,0.2134
日圓 (JPY)-遠期 90 天,0.2094,0.2136
日圓 (JPY)-遠期 120 天,0.2095,0.2139
日圓 (JPY)-遠期 150 天,0.2097,0.2142
日圓 (JPY)-遠期 180 天,0.2098,0.2144
