時間,本行買入匯率,本行賣出匯率
加拿大幣 (CAD)-遠期 10 天,23.414,23.619
加拿大幣 (CAD)-遠期 30 天,23.361,23.577
加拿大幣 (CAD)-遠期 60 天,23.287,23.505
加拿大幣 (CAD)-遠期 90 天,23.22,23.436
加拿大幣 (CAD)-遠期 120 天,23.146,23.372
加拿大幣 (CAD)-遠期 150 天,23.072,23.308
加拿大幣 (CAD)-遠期 180 天,22.998,23.244
