時間,本行買入匯率,本行賣出匯率
紐元 (NZD)-遠期 10 天,19.206,19.411
紐元 (NZD)-遠期 30 天,19.158,19.373
紐元 (NZD)-遠期 60 天,19.09,19.306
紐元 (NZD)-遠期 90 天,19.027,19.242
紐元 (NZD)-遠期 120 天,18.958,19.18
紐元 (NZD)-遠期 150 天,18.889,19.118
紐元 (NZD)-遠期 180 天,18.82,19.056
