時間,本行買入匯率,本行賣出匯率
澳幣 (AUD)-遠期 10 天,20.93,21.135
澳幣 (AUD)-遠期 30 天,20.889,21.104
澳幣 (AUD)-遠期 60 天,20.832,21.049
澳幣 (AUD)-遠期 90 天,20.781,20.996
澳幣 (AUD)-遠期 120 天,20.724,20.947
澳幣 (AUD)-遠期 150 天,20.665,20.895
澳幣 (AUD)-遠期 180 天,20.605,20.843
