時間,本行買入匯率,本行賣出匯率
菲國比索 (PHP)-遠期 10 天,-,-
菲國比索 (PHP)-遠期 30 天,-,-
菲國比索 (PHP)-遠期 60 天,-,-
菲國比索 (PHP)-遠期 90 天,-,-
菲國比索 (PHP)-遠期 120 天,-,-
菲國比索 (PHP)-遠期 150 天,-,-
菲國比索 (PHP)-遠期 180 天,-,-
