時間,本行買入匯率,本行賣出匯率
瑞士法郎 (CHF)-遠期 10 天,35.252,35.515
瑞士法郎 (CHF)-遠期 30 天,35.237,35.526
瑞士法郎 (CHF)-遠期 60 天,35.227,35.525
瑞士法郎 (CHF)-遠期 90 天,35.225,35.528
瑞士法郎 (CHF)-遠期 120 天,35.215,35.537
瑞士法郎 (CHF)-遠期 150 天,35.205,35.547
瑞士法郎 (CHF)-遠期 180 天,35.195,35.556
